City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
604,Pervomaysk,UA,57.51,broken clouds,48.0443,30.8507,Hotelʹ Yevrolider
605,Izvoarele,RO,54.05,broken clouds,45.0333,25.2667,Accommodation Voinesti - Pension VilaMunte 3 ***
606,Hobyo,SO,77.47,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
607,Parasia,IN,69.84,broken clouds,22.2,78.7667,Hotel Navrang
608,Buraydah,SA,78.22,clear sky,26.326,43.975,Mövenpick Qassim
609,Ilo,PE,61.23,clear sky,-17.6394,-71.3375,Torreblanca Hotel
610,Saint-Pierre,RE,65.88,scattered clouds,-21.3393,55.4781,Alize Plage
612,Antalaha,MG,66.87,light rain,-14.9003,50.2788,Hotel Vitasoa
613,Sibolga,ID,75.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
614,Zhangye,CN,58.12,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
615,Kamaishi,JP,64.26,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
616,Bara,NG,73.6,broken clouds,10.3744,10.7288,
618,Tocopilla,CL,62.55,few clouds,-22.092,-70.1979,Hotel Galvarino
619,Charagua,BO,73.58,broken clouds,-19.8,-63.2167,Hotel
620,Basarabeasca,MD,62.04,broken clouds,46.3311,28.9728,
623,Saint Anthony,US,60.15,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
626,Gambela,ET,70.25,light rain,8.25,34.5833,Solomon Debebe Hotel
627,Palauig,PH,78.73,light rain,15.435,119.9045,Villa Raphael Resort
628,Bima,ID,73.71,broken clouds,-8.4667,118.7167,Lambitu Hotel
629,Saint Paul,US,60.78,clear sky,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
632,La Rioja,ES,53.38,scattered clouds,42.25,-2.5,Casa Concejos
633,Yalvac,TR,58.71,overcast clouds,38.2956,31.1778,Yalvac Ogretmenevi
634,Saint-Augustin,CA,54.79,overcast clouds,51.226,-58.6502,Riverview Inn
635,Palu,ID,73.0,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
636,Ikongo,MG,58.55,clear sky,-21.8833,47.4333,
637,Swan Hill,AU,52.56,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
638,Black Forest,US,69.48,broken clouds,39.0131,-104.7008,The Black Forest Inn Colorado Springs
640,Rafraf,TN,70.11,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
641,Mingguang,CN,66.74,overcast clouds,32.7802,117.9638,Yonghao Hotel
642,Plettenberg Bay,ZA,60.93,broken clouds,-34.0527,23.3716,Thanda Vista B&B
644,Tabas,IR,76.73,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
645,Dandong,CN,55.63,broken clouds,40.1292,124.3947,Yiranju Farmstay
646,Loa Janan,ID,72.46,overcast clouds,-0.583,117.095,Kost bu jono
649,Mahon,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
651,Tautira,PF,77.38,light rain,-17.7333,-149.15,Pension Oaoa
656,Lichinga,MZ,65.48,scattered clouds,-13.3128,35.2406,Residencial Bendiak
658,Saint-Francois,FR,53.04,moderate rain,46.4154,3.9054,Maison Vin d'Hus
662,Goderich,CA,58.91,overcast clouds,43.7501,-81.7165,Harmony Inn
663,Ramnagar,IN,69.89,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
664,Ponta Delgada,PT,69.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
665,Xuddur,SO,73.33,clear sky,4.1213,43.8894,Banjanay Hotel
666,Bardiyah,LY,78.3,clear sky,31.7561,25.0865,بورتو بردية
667,Amlame,TG,71.44,overcast clouds,7.4667,0.9,Centre d’Acceuil AMITIE AIFFRES-AMLAME
668,Dzialdowo,PL,51.64,overcast clouds,53.2396,20.17,VARIA
669,Raga,SS,69.03,light rain,8.4596,25.678,
670,Darab,IR,75.22,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
671,Kerema,PG,79.93,moderate rain,-7.9631,145.7785,Frena Lodge
672,Ambon,ID,76.23,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
674,Carbonia,IT,64.0,broken clouds,39.1672,8.5222,Lu 'Hotel
675,Dali,CN,58.3,clear sky,25.7,100.1833,Dali Travelling With Hostel
676,Huaiyuan,CN,67.73,overcast clouds,32.973,117.1995,Shell Bengbu Huaiyuan County West Yuwang Road Hotel
677,Mizan Teferi,ET,58.77,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
678,San Juan Del Rio,MX,66.13,broken clouds,20.3833,-100.0,Hotel Layseca
680,Srivardhan,IN,74.5,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
681,El Alto,PE,69.46,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
682,Kenai,US,53.1,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
683,Mangai,CD,71.47,broken clouds,-4.05,19.5333,
684,Mingaora,PK,69.28,scattered clouds,34.7758,72.3625,Burj Al Swat
685,Pilar,BR,75.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
686,Praia Da Vitoria,PT,68.76,broken clouds,38.7333,-27.0667,Hotel Branco I
688,Mattru,SL,72.55,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
689,General Pico,AR,69.39,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
691,Siljan,NO,52.3,light rain,59.2884,9.71,DNT Blåfjellhuken
693,Taunton,GB,55.89,overcast clouds,51.0211,-3.1047,The Castle Hotel
694,Karratha,AU,70.07,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
696,Beauvais,FR,53.85,light rain,49.4167,2.0,LA GRANGE DE GEORGES
697,Alanya,TR,68.13,clear sky,36.5438,31.9998,Panorama Hotel
698,Bulungu,CD,71.73,moderate rain,-4.55,18.6,Maison MC Michel
